,lyrics
44," Ooh ooh Ooh ooh Oh, oh, see you all tonight smiling and talking We can be polite, when we know they're watching But I want you like that Yeah, I want you like that Yeah, I want you Yeah, I want you Yeah, I want you like that Say you're just a friend, I'm a little liar When we play pretend body is on fire 'Cause I like it like that Yeah, I like it like that Yeah, I like it Yeah, I like it Yeah, I like it like that Come here closer, don't be shy (oh oh) Cross my heart and hope to die (oh oh) Keep the secret me and you And seal it with a kiss Ooh ooh ooh In the shadows where it's hot (oh oh) You're the risk of getting caught (oh oh) Wanna taste forbidden fruit And seal it with a kiss Ooh ooh ooh When you look at me There is no mistaking Like telepathy I know what you thinking That you want me like that Yeah, you want me like that Yeah, you want me Yeah, you want me Yeah, you want me like that Ultraviolet light Burning hot like you do Can we synchronize? Meet me in the back room 'Cause I like it like that Yeah, I like it like that Yeah, I like it Yeah, I like it Yeah, I like it like that Come here closer, don't be shy (oh oh) Cross my heart and hope to die (oh oh) Keep the secret me and you And seal it with a kiss Ooh ooh ooh In the shadows where it's hot (oh oh) You're the risk of getting caught (oh oh) Wanna taste forbidden fruit And seal it with a kiss Ooh ooh ooh Ooh ooh ooh, ooh ooh, ooh Say you're just a friend I'm a little liar (liar, liar, liar, liar, liar, liar) Come here closer, don't be shy (oh oh) Cross my heart and hope to die (oh oh) Keep the secret me and you And seal it with a kiss Ooh ooh ooh In the shadows where it's hot (oh oh) You're the risk of getting caught (oh oh) Wanna taste forbidden fruit And seal it with a kiss Ooh ooh ooh"
45," I'm not ashamed of the things that I dream I find myself flirting with the verge of obscene Into the unknown, I will be bold I'm going to places I can be out of control And I don't want to explain tonight All the things I've tried to hide I shut myself out from the world so I Can draw the blinds and I'll teach myself to fly I love myself It's not a sin I can't control what's happenin' 'Cause I just discovered Imagination's taking over Another day without a lover The more I come to understand The touch of my hand From the small of my back and the arch of my feet Lately I've been noticin' the beautiful me I'm all in my skin and I'm not gonna wait I'm into myself in the most precious way And I don't want to explain tonight All the things I've tried to hide I shut myself out from the world so I Can draw the blinds and I'll teach myself to fly 'Cause I just discovered Imagination's taking over Another day without a lover The more I come to understand The touch of my hand There's a world undefined And my body is mine I won't be left behind I'm already here 'Cause I just discovered Imagination's taking over Another day without a lover The more I come to understand The touch of my hand 'Cause I just discovered Imagination's taking over Another day without a lover The more I come to understand The touch of my hand"
46," Oh, I want you for the rest of my life Walking through time Looking for an answer How can it be this way? What have I done? I just can't help but wonder How everything could change [Bridge] 'Cause you've turned my world around Since you came along, know After this love is found It seems like we can't go wrong [Chorus] Deep in my heart I know there's only you And right from the start I always knew I'll never let go, cause I love you so Oh, I want you for the rest of my life (uh huh) (oh yeah) Some people search What seems to be a lifetime To find a love like this (oh yeah) And here we are With everything we've wished for I've never felt such bliss (oh no) Bridge: 'Cause you've turned my world around Since you came along After this love is found It seems like we can't go wrong [Chorus] There comes a chance In everyone's life And I believe it won't happen twice Now since I've felt the glory of love I want to spend forever And ever with you [Chorus] Deep in my heart I know there's only you (only you) And right from the start I always knew I'll never let go, cause I love you so (I love you so) Oh, I want you for the rest of my life Deep in my heart I know there's only you (only you, only you, oh oh) And right from the start I always knew I'll never let go, cause I love you so (oh oh, I want you in my life) Deep in my heart Deep in my heart Oh, I want you for the rest of my life I want your love forever Oh, I want you for the rest of my life"
47," Baby, I'm so into you You got that something, what can I do Baby, you spin me around Oh, the earth is moving, but I can't feel the ground Every time you look at me My heart is jumpin', it's easy to see Lovin' you means so much more More than anything I ever felt before You drive me crazy I just can't sleep I'm so excited, I'm in too deep Oh crazy But it feels alright Baby, thinkin' of you keeps me up all night Oh oh Tell me, you're so into me That I'm the only one you will see Tell me, I'm not in the blue, oh That I'm not wastin' my feelings on you Lovin' you means so much more More than anything I ever felt before You drive me crazy I just can't sleep I'm so excited, I'm in too deep Oh crazy But it feels alright Baby, thinkin' of you keeps me up all night Crazy I just can't sleep I'm so excited, I'm in too deep Crazy But it feels alright Every day and every night You drive me crazy (you drive me crazy, baby) I'm so excited, I'm in too deep Oh crazy (you make me feel alright) Baby, thinkin' of you keeps me up all night You drive me crazy (you drive me crazy, baby) Yeah Oh crazy (you make me feel alright) But it feels alright Baby, thinkin' of you keeps me up all night Baby, thinkin' of you keeps me up all night"
48," All my life they told me bout a creature so hypnotic But I guess I never thought it was true (Yeah) And now that I've seen you I've turned into a believer Baby so much for what I thought I'd do (Yeah) Since I tasted you I got a craving Shaking in the heat of the night Oh, yeah, baby you got me misbehaving And I don't even know what is right It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya There's just something about ya Something about ya It's hard to forget ya We're stuck here forever Something about ya, 'bout ya Something about ya It's hard to forget ya We're stuck here forever Something about ya Eyes locked on your body, sexy features, so iconic And I just can't keep my fingers away (no) Your love got me faded Keep it going, let's get wasted Baby, so much for my poker face (oh) Since I tasted you I got a craving Shaking in the heat of the night Oh, yeah, baby you got me misbehaving And I don't even know what is right It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya There's just something about ya Something about ya It's hard to forget ya We're stuck here forever Something about ya, 'bout ya Something about ya It's hard to forget ya We're stuck here forever Something about ya, 'bout ya It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya Ah, there's something 'bout you There's something 'bout you (When I think about it) Nobody can do it as good (When I think about it) I keep running right back to you (When I think about it) A lifetime just won't be enough I need more, more, more It's hard to forget ya Something about ya It's hard to forget ya We're stuck here forever Something about ya, 'bout ya Something about ya It's hard to forget ya We're stuck here forever Something about ya, 'bout ya (something about you) It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya Something about ya, 'bout ya (oh) It's just so hard to forget ya It's just so hard to forget ya It's just so hard to forget ya Something about ya, 'bout ya"
49," Notice me Take my hand Why are we Strangers when Our love is strong Why carry on without me Everytime I try to fly I fall, without my wings I feel so small I guess I need you baby And everytime I see, you in my dreams, I see your face It's haunting me I guess I need you baby I make-believe That you are here It's the only way I see clear What have I done You seem to move on easy And Everytime I try to fly I fall, without my wings I feel so small I guess I need you baby And everytime I see, you in my dreams I see your face Your haunting me I guess I need you baby I may have made it rain Please forgive me My weakness caused you pain And this song's my sorry At night I pray That soon your face will fade away And Everytime I try to fly I fall, without my wings I feel so small I guess I need you baby And everytime I see, you in my dreams, I see your face Your haunting me I guess I need you baby"
50," Baby, can't you see I'm calling A guy like you Should wear a warning It's dangerous I'm fallin' There's no escape I can't wait I need a hit Baby, give me it You're dangerous I'm lovin' it Too high Can't come down Losing my head Spinning 'round and 'round Do you feel me now With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic It's getting late To give you up I took a sip From my devil cup Slowly It's taking over me Too high Can't come down It's in the air And it's all around Can you feel me now With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic Don't you know that you're toxic Taste of my lips and having fun With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic I'm intoxicated now I think you'll love it now I think I'm ready now I think I'm ready now I'm intoxicated now I think you'll love it now I think I'm ready now"
51," I'm Miss American Dream since I was seventeen Don't matter if I step on the scene Or sneak away to the Philippines They still gon' put pictures of my derriere in the magazine You want a piece of me? You want a piece of me I'm Miss bad media karma Another day another drama Guess I can't see no harm In working and being a mama And with a kid on my arm I'm still an exception And you want a piece of me I'm Mrs. Lifestyles of the rich and famous (You want a piece of me) I'm Mrs. Oh my God that Britney's shameless! (You want a piece of me) I'm Mrs. Extra! Extra! This just in (You want a piece of me) I'm Mrs. she's too big now she's too thin (You want a piece of me) I'm Mrs. 'You want a piece of me?' Tryin' and pissin' me off Well get in line with the paparazzi Who's flippin' me off Hopin' I'll resort to startin' havoc And end up settlin' in court Now are you sure you want a piece of me? I'm Mrs. 'Most likely to get on TV for strippin' on the streets' When getting the groceries, no, for real Are you kidding me? No wonder there's panic in the industry I mean please I'm Mrs. Lifestyles of the rich and famous (You want a piece of me) I'm Mrs. Oh my God that Britney's Shameless (You want a piece of me) I'm Mrs. Exta! Extra! this just in (You want a piece of me) I'm Mrs. she's too big now she's too thin (You want a piece of me) I'm Miss American Dream since I was 17 Don't matter if I step on the scene Or sneak away to the Philippines They still gon' put pictures of my derriere in the magazine You want a piece of me? You want a piece of me You want a piece of me? I'm Mrs. Lifestyles of the rich and famous (You want a piece of me) I'm Mrs. Oh my God that Britney's shameless! (You want a piece of me) I'm Mrs. Extra! Extra! this just in (You want a piece of me) I'm Mrs. she's too big now she's too thin (You want a piece of me) I'm Mrs. Lifestyles of the rich and famous (You want a piece of me) I'm Mrs. Oh my God that Britney's shameless! (You want a piece of me) I'm Mrs. Extra! Extra! this just in (You want a piece of me) I'm Mrs. she's too big now she's too thin (You want a piece of me) Oh yeah You want a piece of me"
52," Oh, oh, yeah You're so bright Like a dream You burn up Everything We might make a scene Ignite gasoline When the music goes up And the sun goes down Lightning strikes And I'm on the ground Only one that I want around Is you Yeah Spark and it's like gasoline I start purring like a machine My heart only runs on supreme So hot, give me your gasoline Yeah You set me on fire You set me on fire You set me on fire Yeah You set me on fire You set me on fire You set me on fire Yeah Heat wave On the floor Escape, exit door Your touch, burning me Is too much, gasoline When the music goes up And the sun goes down Lightning strikes And I'm on the ground Only one that I want around Is you Yeah Spark and it's like gasoline I start purring like a machine My heart only runs on supreme So hot, give me your gasoline Yeah You set me on fire You set me on fire You set me on fire Yeah You set me on fire You set me on fire You set me on fire Yeah Yeah, damn boy, what you do to me? Yeah You set me on fire Yeah Oh oh oh oh oh oh Spark and it's like gasoline I start purring like a machine My heart only runs on supreme So hot, give me your gasoline Yeah You set me on fire You set me on fire You set me on fire Yeah You set me on fire You set me on fire You set me on fire Yeah, aww"
53," Shorty! We're gonna go to the club and get crunked with Britney, hey! Shorty! She think she fine Fine enough to blow your mind Shorty! She think she bad Get on the floor and shake that ass Shorty! She think she fine Fine enough to blow your mind Shorty! She think she bad Get on the floor and shake that ass! Yeah This is for all those southern boys out there Whoo-hoo Whoo-hoo Whoo-hoo Hey Britney Spears Check this out I see you looking my way and I know that You have something to say Watching every inch of my body Like you wanted to play (So here we go) Boom boom Boy, you look so sexy (Yeah) Boom boom Boy, you look so sexy I begin to dance just a little bit (uh) To turn you on Yeah, I got that I got that boom boom That you want What you need all night long Hurry up before it's gone I got that boom boom That you want (Yeah) I don't think you should wait One minute might be too late Whoo-hoo Whoo-hoo Whoo-hoo Yeah, yeah, he-yeah You have caught my eye And I wanted to get to know you Don't be shy I want you to come closer So what you gonna do (So here we go) Boom boom Boy, you look so sexy (You look so damn sexy) Boom boom Boy, you look so sexy (Tonight) I got that boom boom (Hey, hey) That you want What you need all night long Hurry up before it's gone I got that boom boom (Hey, hey) That you want I don't think you should wait One minute might be too late Shorty! She think she fine Fine enough to blow your mind Shorty! She think she bad Get on the floor and shake that ass Shorty! She think she fine Fine enough to blow your mind Shorty! She think she bad Get on the floor and shake that ass Twilly-Twilly what? Twilly Twilly what? Twilly-Twilly Shorty get on the floor shake dat ass for me Twilly- Twilly, Twilly-Twilly,Twilly- Twilly Shorty get on the floor shake that ass for me She naked She soaking wet Strip tease like a mm Drip, sweat She got a little body that I can't forget I ain't met a young lady that outdid her yet Britney Spears and the Ying Yang Twins Whats up, ha We all became friends Might as well let the party begin If you're ready then jump on in Shorty! She think she fine Fine enough to blow your mind Shorty! She think she bad Get on the floor and shake that ass Shorty! She think she fine Fine enough to blow your mind Shorty! She think she bad Get on the floor and shake that ass [Repeat: x2] I got that boom boom (Hey, hey) That you want What you need all night long Hurry up before it's gone I got that boom boom (Hey, hey) That you want I don't think you should wait One minute might be too late Boom boom Boy, you look so sexy (Damn, you're so sexy) Boom boom Boy, you look so sexy (What you doin' to me?) Boom boom Boy, you look so sexy (Damn, you're turning me on) Boom boom Boy, you look so sexy Yeah, yeah"
54," Don't go knock my door Don't go knock on my door Time is up No more cheat and lie No more tears to dry You and I we're like so bye bye Finally I am over you Totally unblue And I can hear myself saying I am better off without you Stronger than ever and I, I'm tellin' you now Don't go knockin' on my door Gotta stay away for sure You say you miss me like crazy now But I ain't buyin' that You better get off my back Don't go knockin' on my door I can see It's no mystery It's so clear to me What we had is all history It's okay I can sleep at night It will be alright I can hear myself saying I am better off without you Stronger than ever and I, I'm tellin' you now Don't go knockin' on my door Gotta stay away for sure You say you miss me like crazy now But I ain't buyin' that You better get off my back Don't go knockin' on my door Don't go knockin' on my door Gotta stay away for sure You say you miss me like crazy now But I ain't buyin' that You better get off my back Ooh yeah Don't go knock on my door Don't go knock on my door Don't go knock on my door Do what you want As long as you don't come back Don't go knockin' on my door Gotta stay away for sure And now I ain't buyin' that You better get off my back Don't go knockin' on my door Gotta stay away for sure You say you miss me like crazy now But I ain't buyin' that You better get off my back Don't go knockin' on my door Don't go knockin' on my door Gotta stay away for sure You say you miss me like crazy now But I ain't buyin' that You better get off my back Don't go knockin' on my door"
55," Heart I know I've been hard on you I'm sorry for the things I put you through Before you start to break on me Or ask for sympathy I need to make you see Oh heart I'm not sure it's been long enough To say what I feel is really love There is just one way to learn Sometimes we'll get hurt And right not it's our turn Give it time Help me through Heart we can do this together You're my strength You're my soul I need you now more than ever Heart All the hurt will soon be gone If you, if you'll just keep on being strong You will always be my friend So keep on hanging in And we'll find love again Give it time Help me through Heart we can do this together You're my strength You're my soul I need you now more than ever Heart I know I've been hard on you I'm sorry for the things I've put you through Please don't you break on me I need to make you see It wasn't meant to be 'Cause you will always be my friend So keep on hanging in And we'll find love again [Spoken] ""So Amanda, whatcha guys do on your date last night?"" ""Oh he was so sweet. He took me to eat and brought me roses."" (Aw..) ""And then we went back to his house and watched movies."" ""You went back to his house?"" ""Did you guys kiss?"" ""I'm not telling you that!"" (laughter) ""Oh my god, you did!"" ""Shhh...oh my god."" ""Look at that guy."" ""He's so cute."" ""And he's looking over here."" ""Be quiet. Gotta be cool."" ""Go talk to him."" ""No...I'm too nervous."""
56," Will you turn me up? Yeah! This is the making Of another cold, rude awakening It's been too long anticipating Hurry up for my demonstration So give undivided attention Okay, light speed Turbo, to get to me Don't play, joke around One shot, you're killin' me Don't keep me waiting Don't keep me waiting My body's waiting Don't keep me waiting I'm going crazy, got me waiting Come and take it from me I'm going crazy, got me waiting Come and take it from me I'm going crazy, got me waiting Come and take it from me I'm going crazy, got me waiting Come and take it from me The time is tickin' The train is boarding, you might miss it Follow directions, damn it, listen Before my body's in remission So come to your destination Okay, light speed Turbo, to get to me Don't play, joke around One shot, you're killin' me Don't keep me waiting Don't keep me waiting My body's waiting Don't keep me waiting I'm going crazy, got me waiting Come and take it from me I'm going crazy, got me waiting Come and take it from me I'm going crazy, got me waiting Come and take it from me I'm going crazy, got me waiting Come and take it from me What the hell? I'm standin- wha- what the hell? Stan- standing outside I'm standing outside Wha- wha- what- wha- wha- What the hell! I'm standing outside Colder than the freezer Come out and melt my ice I'm running out of time You're changing my demeanour So get me to your ride Before I change my mind Don't apologize Don't keep me waiting (Hey, hey, hey, hey!) Don't keep me waiting (Hey, hey, hey, hey!) My body's waiting (Hey, hey, hey, hey!) Don't keep me waiting (Hey, hey, hey, hey!) Don't keep me waiting (Hey, hey, hey, hey!) Don't keep me waiting (Hey, hey, hey, hey!) My body's waiting (Hey, hey, hey, hey!) Don't keep me waiting (Hey, hey, hey, hey!) I'm going crazy, got me waiting Come and take it from me I'm going crazy, got me waiting Come and take it from me I'm going crazy, got me waiting Come and take it from me I'm going crazy, got me waiting Come and take it from me"
57," Oh Diamond, diamond Shinin', shinin' Ooh boy You so fine Gotta be the finest thing That I've seen in my life I will pay whatever Just to get a better view And yeah, your body looks so sick I think I caught the flu Look at you Look at you Be my sweetie Be my honey tonight Look at you Look at you Be my sweetie Be my honey tonight 'Cause you're beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop-drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) You're some kind of fine Boy, you know You're beautiful I know you heard it before Boy, you know You broke the mold Nobody even come close Nobody even come close You're some kind of fine You must be B-I-G Because you got me hypnotized Whoever said that beauty on the inside is a liar 'Cause, what I'm looking at right now Would make a big girl cry So fasten up your seat belt It's gon' be a bumpy ride Look at you Look at you Be my sweetie Be my honey tonight Look at you Look at you Be my sweetie Be my honey tonight 'Cause you're beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop-drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) You're some kind of fine Boy, you know You're beautiful I know you heard it before Boy, you know You broke the mold Nobody even come close Nobody even come close You're some kind of fine Oh, I think I like you Sabi Boy, boy Look at you I wanna get, get, get next to you Got me kinda hot But, I ain't sweatin' you Steamin' like like a pot full of vegetables Boy, boy Look at me I know you wanna touch But it ain't for free I don't need your money I just want your D Boy, come over here with your sexy ass 'Cause you're beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop-drop dead) Beautiful (Drop dead) Beautiful (Drop dead) Beautiful (Drop dead) You're some kind of fine Boy, you know You're beautiful I know you heard it before Boy, you know You broke the mold Nobody even come close Nobody even come close You're some kind of fine Oh Yeah Oh Boy you know"
58," You wanna, you wanna You want a hot body? You want a Bugatti? You want a Maserati? You better work bitch You want a Lamborghini? Sippin' martinis? Look hot in a bikini? You better work bitch You wanna live fancy? Live in a big mansion? Party in France? You better work bitch, you better work bitch You better work bitch, you better work bitch Now get to work bitch! Now get to work bitch! Bring it on, ring the alarm Don't stop now, just be the champion Work it hard, like it's your profession Watch out now, cause here it comes Here comes the smasher, here comes the master Here comes the big beat, big beat disaster No time to quit now, just time to get it now Pick up what I'm putting down Pick up what I'm putting down You want a hot body? You want a Bugatti? You want a Maserati? You better work bitch You want a Lamborghini? Sippin' martinis? Look hot in a bikini? You better work bitch You wanna live fancy? Live in a big mansion? Party in France? You better work bitch, you better work bitch You better work bitch, you better work bitch Now get to work bitch! Now get to work bitch! Break it off, break it down See me come and you can hear my sound Tell somebody in your town Spread the word, spread the word Go call the police, go call the governor I bring the treble, don't mean to trouble ya' I make the governor, call me the governor I am the bad bitch, the bitch that you'll never know Hold your head high, fingers to the sky They gonna try to try ya', but they can't deny ya' Keep it moving higher, and higher Keep it building higher, and higher So hold your head high, fingers to the sky Now they don't believe ya', but they gonna meet ya' Keep it moving higher and higher Keep it moving higher and higher and higher Work, work, work, work Work, work, work, work Work, work, work, work Work, work, work Work it out, work it out, work it out, work it out Work it out, work it out, work it out, work it out Work it out, work it out, work it out, work it out Work it out, work it out You better work bitch You better work bitch"
59," Baby, I'm so into you You got that something, what can I do Baby, you spin me around Oh, the earth is moving, but I can't feel the ground Every time you look at me My heart is jumpin', it's easy to see Lovin' you means so much more More than anything I ever felt before You drive me crazy I just can't sleep I'm so excited, I'm in too deep Oh crazy But it feels alright Baby, thinkin' of you keeps me up all night Oh oh Tell me, you're so into me That I'm the only one you will see Tell me, I'm not in the blue, oh That I'm not wastin' my feelings on you Lovin' you means so much more More than anything I ever felt before You drive me crazy I just can't sleep I'm so excited, I'm in too deep Oh crazy But it feels alright Baby, thinkin' of you keeps me up all night Crazy I just can't sleep I'm so excited, I'm in too deep Crazy But it feels alright Every day and every night You drive me crazy (you drive me crazy, baby) I'm so excited, I'm in too deep Oh crazy (you make me feel alright) Baby, thinkin' of you keeps me up all night You drive me crazy (you drive me crazy, baby) Yeah Oh crazy (you make me feel alright) But it feels alright Baby, thinkin' of you keeps me up all night Baby, thinkin' of you keeps me up all night"
60," I, I was the game he would play He brought the clouds to my day Then like a ray of light You came my way one night Just one look and I knew You would make everything clear Make all the clouds disappear Put all your fears to rest Who do I love the best Don't you know, don't you know? You've got it all over him You got me over him Honey, it's true There's just you You must have been heaven-sent Hearing me call, you went out on a limb And you're all that he's not Just look what I've got 'Cause you've got it all Over him No, don't let him worry you so Once I met you, I let go Oh you can surely see You're so much more to me Just one look and I knew You would make everything clear Make all the clouds disappear You're better than all the rest Who do I love the best Don't you know, don't you know? You've got it all over him You got me over him Honey, it's true There's just you You must have been heaven-sent Hearing me call, you went out on a limb And you're all that he's not Just look what I've got 'Cause you've got it all All over him Honey, it's true There's just you You must have been heaven-sent Hearing me call, you went out on a limb And you're all that he's not Just look what I've got 'Cause you've got it all All over him Honey, it's true There's just you You must have been heaven-sent Hearing me call, you went out on a limb And you're all that he's not Just look what I've got 'Cause you've got it all Over him"
61," You know I'm one of a kind Boy, what's this I see Your girl, she looks just like me Blond hair and dressed to a T You tell me how can this be Does she knew I was the one Who used to turn you on But you don't want to talk about it Well, you think you can find Someone to fill my shoes And you ask yourself why She don't do the things I do And you can't deny That everywhere you go You see my face, hear my name And it eats you up inside You know I'm one of a kind There'll never be another me Can't get me out of your mind You're lost in your own fantasy And when you look in my eyes Is it hard for you to realize She'll never be me Why can't you see it, girl Got no identity Whenever he's touching you He's really thinking of me Do you know I was the one Who used to turn him on? But you don't want to talk about it Well, you think you can find Someone to fill my shoes And you ask yourself why She don't do the things I do And you can't deny That everywhere you go You see my face, hear my name And it eats you up inside You know I'm one of a kind There'll never be another me Can't get me out of your mind You're lost in your own fantasy And when you look in my eyes Is it hard for you to realize She'll never be me You know I'm one of a kind There'll never be another me Can't get me out of your mind You're lost in your own fantasy And when you look in my eyes Is it hard for you to realize She'll never be me"
62," Big fat bass The big fat bass Big fat bass The big fat bass Big fat bass The big fat bass Big fat bass The big fat bass Big fat bass The big fat bass Big fat bass The big fat bass Big fat bass The big fat bass I can be the trouble, baby You can be the bass You can be the bass You can be the bass I can be the trouble, baby You can be the bass You can be the bass You can be the bass I can be the trouble, baby You can be the bass You can be the bass You can be the bass I can be the trouble, baby You can be the bass You can be the bass You can be the bass Hey, you see me down on the floor I want you to take me higher 'Til I can't take it no more It's gettin' bigger The bass is gettin' bigger And now, you see me up in the sky I was rockin' the bottom Now look at me I can fly It's gettin' bigger The bass is gettin' bigger I can be your trouble, baby You can be my bass You can be my bass You can be my bass I can be your trouble, baby You can be my bass You can be my bass You can be my bass It's gettin' bigger The bass is gettin' bigger It's gettin' bigger The bass is gettin' bigger It's gettin' bigger The bass is gettin' bigger It's gettin' bigger Bigger, bigger The bass is getting low The bass is getting low The bass is getting low It's gettin' bigger The bass is gettin' bigger Hey, you see me out in the night Wanna go out dancing So I can feel alright It's gettin' bigger The bass is gettin' bigger Yo, take me out in the lights I wanna have me a good time The bass is feelin' nice It's gettin' bigger The bass is gettin' bigger I can be your trouble, baby You can be my bass You can be my bass You can be my bass I can be your trouble, baby You can be my bass You can be my bass You can be my bass I can be your trouble, baby You can be my bass You can be my bass You can be my bass I can be your trouble, baby You can be my bass You can be my bass You can be my bass Yeah, yeah, yeah Y'all better get ready for the kick drum For the kick drum For the kick drum Y'all better get ready for the kick drum For the kick drum For the kick drum Yo it's the kick drum Come and get some Of the sound that's rockin' your system When it pounds it cause an addiction You addicts better have a prescription Me and Brit got the whole club trippin' They sit and wait and listen For the kick drum For the kick drum For the kick drum For the kick drum For the big big fat fat bass Rockin' all in your face Vibrate shake up the place Right now let's get crazy Here we go, here we go, here we go Everybody in the place get frantic This beat right here's gigantic Yo It's gettin' bigger The bass is gettin' bigger It's gettin' bigger The bass is gettin' bigger It's gettin' bigger The bass is gettin' bigger It's gettin' bigger The bass is gettin' bigger I can be your trouble baby You can be my bass You can be my bass You can be my bass I can be your trouble, baby You can be my bass You can be my bass You can be my bass I can be your trouble, baby You can be my bass You can be my bass You can be my bass I can be your trouble, baby You can be my bass You can be my bass Don't say it"
63," You don't have to look like a movie star Ooh I think you're good just the way you are Tell me if you could would you up and run away, with me? You don't have to roll like a millionaire Baby I would go with you anywhere We don't need no gold, we'll be shining anyway, we'll see You know can nobody get down like us We don't fuck 'till we get enough C'mon, turn it up 'till the speakers pop Break it down, show me what you got Ooh my my baby don't be shy I see that spark flashing in your eye My heart beats fast 'cause I want it all So baby come with me and be my ooh la la Take my hand, we can go all night And spin me round just the way I like It feels so good, I don't wanna stop So baby come with me and be my ooh la la You don't have to wear no designer clothes Just as long as we're dancing on the floor Fingers in my hair and I'm letting go tonight, so free You know can nobody get down like us We don't fuck 'till we get enough C'mon, turn it up 'till the speakers pop Break it down, show me what you got Ooh my my baby don't be shy I see that spark flashing in your eye My heart beats fast 'cause I want it all So baby come with me and be my ooh la la Take my hand, we can go all night And spin me round just the way I like It feels so good, I don't wanna stop So baby come with me and be my ooh la la (Be my ooh la la) Ooh my my baby don't be shy I see that spark flashing in your eye Ooh my my baby don't be shy I see that spark flashing in your eye My heart beats fast 'cause I want it all So baby come with me and be my ooh la la Take my hand, we can go all night And spin me round just the way I like It feels so good, I don't wanna stop So baby come with me and be my ooh la la Baby come with me and be my ooh la la So baby come with me and be my ooh la la"
64," I need time (time) Love (love), joy (joy) I need space (love) I need me (Action!) Say hello to the girl that I am You're going to have to see through my perspective I need to make mistakes just to learn who I am And I don't want to be so damn protected There must be another way Cause I believe in taking chances But who am I to say What a girl is to do? God, I need some answers What am I to do with my life? (You will find it out don't worry) How am I supposed to know what's right? (You just got to do it your way) I can't help the way I feel But my life has been so overprotected I'll tell them what I like, what I want, what I don't But every time I do I stand corrected Things that I've been told I can't believe what I hear about the world, I realize I'm overprotected There must be another way Cause I believe in taking chances But who am I to say What a girl is to do? God, I need some answers What am I to do with my life? (You will find it out don't worry) How am I supposed to know what's right? (You just got to do it your way) I can't help the way I feel But my life has been so overprotected I need time (love) I need space (This is it, this is it) I don't need nobody telling me just what I wanna What I, what, what, what I'm going to Do about my destiny I say no, no, nobody's telling me just What, what, what I wanna do, do I'm so fed up with people telling me to be Someone else but me (Action!) What am I to do with my life? (You will find it out don't worry) How am I supposed to know what's right? (You just got to do it your way) I can't help the way I feel But my life has been so overprotected I don't need nobody telling me just what I wanna What I, what, what, what I'm going to Do about my destiny I say no, no, nobody's telling me just What, what, what I wanna do, do I'm so fed up with people telling me to be Someone else but me What am I to do with my life? (You will find it out don't worry) How am I supposed to know what's right? (You just got to do it your way) I can't help the way I feel But my life has been so overprotected"
65," Got those heels on that you love The ones that drive you crazy Exactly what you're dreaming of I'll give it to you baby 150 miles away Singing out my lungs Driving fast all through L.A On my, my tongue Heart's beating fast When I'm turning the key I see you on your back And I just can't believe She looks just like me, just like me No, I just can't believe She looks just like me, just like me Just like me, ooh Before I think, I start to run But you can't even face me Know exactly what you've done Know exactly, baby Pictures, they flash And I can't even sleep I see you on your back And I just can't believe She looks just like me, just like me No, I just can't believe She looks just like me, just like me Just like me, ooh She can, she can, she can have you She can, she can, she can have you She can, she can, she can have you She can, she can, she can Pictures, they flash And I can't even sleep I see you on your back And I just can't believe She looks just like me, just like me No, I just can't believe She looks just like me, just like me Just like me, just like me"
